| Reward: -30000 | Episode: 71 | Qmax: -260.67041080574484 | Exploration: 0.232499129979
| Reward: -30090 | Episode: 72 | Qmax: -265.1665921939854 | Exploration: 0.232499129979
| Reward: -30180 | Episode: 73 | Qmax: -265.96703136026133 | Exploration: 0.232499129979
| Reward: -30180 | Episode: 74 | Qmax: -267.2850907315271 | Exploration: 0.232499129979
| Reward: -16750 | Episode: 75 | Qmax: -259.28770303733273 | Exploration: 0.22319916478
| Reward: -30000 | Episode: 76 | Qmax: -270.30286355523646 | Exploration: 0.22319916478
| Reward: -10060 | Episode: 77 | Qmax: -255.83966178558472 | Exploration: 0.214271198189
| Reward: -3880 | Episode: 78 | Qmax: -259.2083750603786 | Exploration: 0.205700350261
| Reward: -25200 | Episode: 79 | Qmax: -274.23489192454474 | Exploration: 0.197472336251
| Reward: -30000 | Episode: 80 | Qmax: -271.12468652392914 | Exploration: 0.197472336251
| Reward: -11080 | Episode: 81 | Qmax: -273.91283426226204 | Exploration: 0.189573442801
| Reward: -8170 | Episode: 82 | Qmax: -267.4454608951327 | Exploration: 0.181990505089
| Reward: -7840 | Episode: 83 | Qmax: -270.94536012486185 | Exploration: 0.174710884885
| Reward: -6660 | Episode: 84 | Qmax: -270.1536720127925 | Exploration: 0.16772244949
| Reward: -3860 | Episode: 85 | Qmax: -288.27815392703724 | Exploration: 0.16101355151
| Reward: -14360 | Episode: 86 | Qmax: -270.5499746055552 | Exploration: 0.15457300945
| Reward: -17730 | Episode: 87 | Qmax: -272.917512504759 | Exploration: 0.148390089072
| Reward: -17710 | Episode: 88 | Qmax: -260.8078120441533 | Exploration: 0.142454485509
| Reward: -8840 | Episode: 89 | Qmax: -258.0780849549544 | Exploration: 0.136756306089
| Reward: -2530 | Episode: 90 | Qmax: -256.05214954419733 | Exploration: 0.131286053845
| Reward: -8320 | Episode: 91 | Qmax: -262.4583156395073 | Exploration: 0.126034611691
| Reward: -13010 | Episode: 92 | Qmax: -262.4645244818803 | Exploration: 0.120993227224
| Reward: -12550 | Episode: 93 | Qmax: -242.5729197802751 | Exploration: 0.116153498135
| Reward: -2000 | Episode: 94 | Qmax: -223.26115381150018 | Exploration: 0.111507358209
| Reward: -5950 | Episode: 95 | Qmax: -254.45570673627302 | Exploration: 0.107047063881
| Reward: -15790 | Episode: 96 | Qmax: -244.2809401761818 | Exploration: 0.102765181326
| Reward: -9350 | Episode: 97 | Qmax: -247.93719372027135 | Exploration: 0.0986545740727
| Reward: -5960 | Episode: 98 | Qmax: -229.71713362786636 | Exploration: 0.0947083911098
| Reward: -16660 | Episode: 99 | Qmax: -213.62359939469357 | Exploration: 0.0909200554654
| Reward: -7800 | Episode: 100 | Qmax: -212.03059436399727 | Exploration: 0.0872832532468
| Reward: -7720 | Episode: 101 | Qmax: -216.11010823560798 | Exploration: 0.0837919231169
| Reward: -6440 | Episode: 102 | Qmax: -212.30938954747052 | Exploration: 0.0804402461923
| Reward: -6860 | Episode: 103 | Qmax: -204.78633416384116 | Exploration: 0.0772226363446
| Reward: -2890 | Episode: 104 | Qmax: -204.87909483510913 | Exploration: 0.0741337308908
| Reward: -4410 | Episode: 105 | Qmax: -200.0685461556039 | Exploration: 0.0711683816552
| Reward: -6000 | Episode: 106 | Qmax: -212.2591210877309 | Exploration: 0.0683216463889
| Reward: -5320 | Episode: 107 | Qmax: -198.76607712256512 | Exploration: 0.0655887805334
| Reward: -2760 | Episode: 108 | Qmax: -197.0801953835921 | Exploration: 0.0629652293121
| Reward: -3310 | Episode: 109 | Qmax: -197.7779206935961 | Exploration: 0.0604466201396
| Reward: -6930 | Episode: 110 | Qmax: -200.46846689031608 | Exploration: 0.058028755334
| Reward: -5150 | Episode: 111 | Qmax: -203.5242691003075 | Exploration: 0.0557076051206
| Reward: -2370 | Episode: 112 | Qmax: -204.6006464487628 | Exploration: 0.0534793009158
| Reward: -6600 | Episode: 113 | Qmax: -182.2799207852625 | Exploration: 0.0513401288792
| Reward: -3720 | Episode: 114 | Qmax: -185.98207610564705 | Exploration: 0.049286523724
| Reward: -3930 | Episode: 115 | Qmax: -197.61567565880105 | Exploration: 0.047315062775
| Reward: -5350 | Episode: 116 | Qmax: -175.77977514441955 | Exploration: 0.045422460264
| Reward: -7820 | Episode: 117 | Qmax: -184.97090272861297 | Exploration: 0.0436055618535
| Reward: -1810 | Episode: 118 | Qmax: -189.17189867417892 | Exploration: 0.0418613393793
| Reward: -1790 | Episode: 119 | Qmax: -193.29299340424714 | Exploration: 0.0401868858042
| Reward: -2760 | Episode: 120 | Qmax: -173.39354431545817 | Exploration: 0.038579410372
| Reward: -1950 | Episode: 121 | Qmax: -192.12596201780366 | Exploration: 0.0370362339571
| Reward: -3230 | Episode: 122 | Qmax: -170.69619327015033 | Exploration: 0.0355547845988
| Reward: -1720 | Episode: 123 | Qmax: -194.9381463445805 | Exploration: 0.0341325932149
| Reward: -1940 | Episode: 124 | Qmax: -191.6530678132001 | Exploration: 0.0327672894863
| Reward: -1340 | Episode: 125 | Qmax: -174.03548964625224 | Exploration: 0.0314565979068
| Reward: -6940 | Episode: 126 | Qmax: -169.97633600662547 | Exploration: 0.0301983339906
| Reward: -1650 | Episode: 127 | Qmax: -148.87375571089945 | Exploration: 0.0289904006309
| Reward: -4000 | Episode: 128 | Qmax: -170.86647848763116 | Exploration: 0.0278307846057
| Reward: -4470 | Episode: 129 | Qmax: -183.44491640796286 | Exploration: 0.0267175532215
| Reward: -6510 | Episode: 130 | Qmax: -162.40762092022058 | Exploration: 0.0256488510926
| Reward: -7010 | Episode: 131 | Qmax: -175.3782844170928 | Exploration: 0.0246228970489
| Reward: -3090 | Episode: 132 | Qmax: -186.2195969516394 | Exploration: 0.023637981167
| Reward: -6300 | Episode: 133 | Qmax: -158.04185929644154 | Exploration: 0.0226924619203
| Reward: -7080 | Episode: 134 | Qmax: -150.17911583390983 | Exploration: 0.0217847634435
| Reward: -2330 | Episode: 135 | Qmax: -141.6764815937835 | Exploration: 0.0209133729057
| Reward: -2930 | Episode: 136 | Qmax: -151.0947717855079 | Exploration: 0.0200768379895
| Reward: -6910 | Episode: 137 | Qmax: -148.79178952622877 | Exploration: 0.0192737644699
| Reward: -1490 | Episode: 138 | Qmax: -148.7254329408115 | Exploration: 0.0192737644699
| Reward: -4920 | Episode: 139 | Qmax: -148.07640385022202 | Exploration: 0.0192737644699
| Reward: -1190 | Episode: 140 | Qmax: -162.96853168990262 | Exploration: 0.0192737644699
| Reward: -1790 | Episode: 141 | Qmax: -147.70133109540535 | Exploration: 0.0192737644699
| Reward: -1920 | Episode: 142 | Qmax: -151.185168716577 | Exploration: 0.0192737644699
| Reward: -2660 | Episode: 143 | Qmax: -137.28126943782243 | Exploration: 0.0192737644699
| Reward: -1990 | Episode: 144 | Qmax: -166.84741024480482 | Exploration: 0.0192737644699
| Reward: -2240 | Episode: 145 | Qmax: -141.78603009612132 | Exploration: 0.0192737644699
| Reward: -4230 | Episode: 146 | Qmax: -135.13093331013536 | Exploration: 0.0192737644699
| Reward: -1950 | Episode: 147 | Qmax: -141.9650930253993 | Exploration: 0.0192737644699
| Reward: -1350 | Episode: 148 | Qmax: -146.10102566850597 | Exploration: 0.0192737644699
| Reward: -5070 | Episode: 149 | Qmax: -151.51073223739627 | Exploration: 0.0192737644699
| Reward: -880 | Episode: 150 | Qmax: -147.90762383353953 | Exploration: 0.0192737644699
| Reward: -2380 | Episode: 151 | Qmax: -111.59635143125406 | Exploration: 0.0192737644699
| Reward: -1220 | Episode: 152 | Qmax: -149.185111984159 | Exploration: 0.0192737644699
| Reward: -2210 | Episode: 153 | Qmax: -124.35670321625032 | Exploration: 0.0192737644699
| Reward: -1970 | Episode: 154 | Qmax: -133.11558823827383 | Exploration: 0.0192737644699
| Reward: -3740 | Episode: 155 | Qmax: -151.49580589930216 | Exploration: 0.0192737644699
| Reward: -3520 | Episode: 156 | Qmax: -117.0250813605377 | Exploration: 0.0192737644699
| Reward: -3840 | Episode: 157 | Qmax: -140.3239859077077 | Exploration: 0.0192737644699
| Reward: -2320 | Episode: 158 | Qmax: -123.79857109480899 | Exploration: 0.0192737644699
| Reward: -1500 | Episode: 159 | Qmax: -111.13350216615945 | Exploration: 0.0192737644699
| Reward: -2180 | Episode: 160 | Qmax: -116.85572238273272 | Exploration: 0.0192737644699
| Reward: -3280 | Episode: 161 | Qmax: -106.37201604006961 | Exploration: 0.0192737644699
| Reward: -570 | Episode: 162 | Qmax: -80.94620439721577 | Exploration: 0.0192737644699
| Reward: -1940 | Episode: 163 | Qmax: -94.71941273469551 | Exploration: 0.0192737644699
| Reward: -1040 | Episode: 164 | Qmax: -119.41827003984598 | Exploration: 0.0192737644699
| Reward: -1340 | Episode: 165 | Qmax: -113.23019442893565 | Exploration: 0.0192737644699
| Reward: -1310 | Episode: 166 | Qmax: -142.03412550814608 | Exploration: 0.0192737644699
| Reward: -2090 | Episode: 167 | Qmax: -109.99221541525021 | Exploration: 0.0192737644699
| Reward: -1200 | Episode: 168 | Qmax: -99.69522166641859 | Exploration: 0.0192737644699
| Reward: -770 | Episode: 169 | Qmax: -140.30221260989876 | Exploration: 0.0192737644699
| Reward: -1610 | Episode: 170 | Qmax: -110.2360357837098 | Exploration: 0.0192737644699
| Reward: -6370 | Episode: 171 | Qmax: -102.74425844366804 | Exploration: 0.0192737644699
| Reward: -880 | Episode: 172 | Qmax: -93.17829550072855 | Exploration: 0.0192737644699
| Reward: -4520 | Episode: 173 | Qmax: -88.19275196833593 | Exploration: 0.0192737644699
| Reward: -1170 | Episode: 174 | Qmax: -80.98063293556999 | Exploration: 0.0192737644699
| Reward: -1060 | Episode: 175 | Qmax: -106.71841909864852 | Exploration: 0.0192737644699
| Reward: -2570 | Episode: 176 | Qmax: -92.86136029281197 | Exploration: 0.0192737644699
| Reward: -2110 | Episode: 177 | Qmax: -73.01767156546202 | Exploration: 0.0192737644699
| Reward: -2360 | Episode: 178 | Qmax: -118.42472411262068 | Exploration: 0.0192737644699
| Reward: -3170 | Episode: 179 | Qmax: -90.45127552310261 | Exploration: 0.0192737644699
| Reward: -960 | Episode: 180 | Qmax: -115.68107214837141 | Exploration: 0.0192737644699
| Reward: -720 | Episode: 181 | Qmax: -120.33215603159695 | Exploration: 0.0192737644699
| Reward: -1090 | Episode: 182 | Qmax: -97.72856751319115 | Exploration: 0.0192737644699
| Reward: -1720 | Episode: 183 | Qmax: -86.84846186605128 | Exploration: 0.0192737644699
| Reward: -6110 | Episode: 184 | Qmax: -87.43970803742037 | Exploration: 0.0192737644699
| Reward: -6210 | Episode: 185 | Qmax: -67.99346373214647 | Exploration: 0.0192737644699
| Reward: -1120 | Episode: 186 | Qmax: -93.52371157388218 | Exploration: 0.0192737644699
| Reward: -380 | Episode: 187 | Qmax: -65.06223840049158 | Exploration: 0.0192737644699
| Reward: -320 | Episode: 188 | Qmax: -64.73057059092181 | Exploration: 0.0192737644699
| Reward: -1130 | Episode: 189 | Qmax: -58.58954699115063 | Exploration: 0.0192737644699
| Reward: -1600 | Episode: 190 | Qmax: -78.77680339543697 | Exploration: 0.0192737644699
| Reward: -370 | Episode: 191 | Qmax: -76.59799219319162 | Exploration: 0.0192737644699
| Reward: -630 | Episode: 192 | Qmax: -60.60912804570916 | Exploration: 0.0192737644699
| Reward: -1320 | Episode: 193 | Qmax: -61.46698008834476 | Exploration: 0.0192737644699
| Reward: -1080 | Episode: 194 | Qmax: -39.623630793165354 | Exploration: 0.0192737644699
| Reward: -1130 | Episode: 195 | Qmax: -64.1491851130031 | Exploration: 0.0192737644699
| Reward: -910 | Episode: 196 | Qmax: -86.22661488953203 | Exploration: 0.0192737644699
| Reward: -290 | Episode: 197 | Qmax: -75.03736919623155 | Exploration: 0.0192737644699
| Reward: -560 | Episode: 198 | Qmax: -25.853055104161754 | Exploration: 0.0192737644699
| Reward: -1380 | Episode: 199 | Qmax: -75.86358655661948 | Exploration: 0.0192737644699
| Reward: -270 | Episode: 200 | Qmax: -69.2364605890738 | Exploration: 0.0192737644699
| Reward: -910 | Episode: 201 | Qmax: -47.26037539113866 | Exploration: 0.0192737644699
| Reward: -700 | Episode: 202 | Qmax: -52.18257766440511 | Exploration: 0.0192737644699
| Reward: -1450 | Episode: 203 | Qmax: -61.467793943035986 | Exploration: 0.0192737644699
| Reward: -550 | Episode: 204 | Qmax: -89.30877909797888 | Exploration: 0.0192737644699
| Reward: -670 | Episode: 205 | Qmax: -76.4251528738381 | Exploration: 0.0192737644699
| Reward: -5500 | Episode: 206 | Qmax: -55.094313965691256 | Exploration: 0.0192737644699
| Reward: -2210 | Episode: 207 | Qmax: -75.56343339484286 | Exploration: 0.0192737644699
| Reward: -30000 | Episode: 208 | Qmax: -45.1658139253006 | Exploration: 0.0192737644699
| Reward: -30000 | Episode: 209 | Qmax: -26.20702789195055 | Exploration: 0.0192737644699
| Reward: -25230 | Episode: 210 | Qmax: -13.059739541338313 | Exploration: 0.0192737644699
| Reward: -1030 | Episode: 211 | Qmax: -9.809275032540338 | Exploration: 0.0192737644699
| Reward: -9920 | Episode: 212 | Qmax: -6.7451772382538655 | Exploration: 0.0192737644699
| Reward: -3850 | Episode: 213 | Qmax: -1.3937147061564499 | Exploration: 0.0192737644699
| Reward: -19410 | Episode: 214 | Qmax: -4.350091946020943 | Exploration: 0.0192737644699
| Reward: -6430 | Episode: 215 | Qmax: -1.5530643665458534 | Exploration: 0.0192737644699
| Reward: -6730 | Episode: 216 | Qmax: 1.0348794327811563 | Exploration: 0.0192737644699
| Reward: -880 | Episode: 217 | Qmax: 8.029828947721695 | Exploration: 0.0192737644699
| Reward: -3020 | Episode: 218 | Qmax: 5.541095532512722 | Exploration: 0.0192737644699
| Reward: -660 | Episode: 219 | Qmax: 8.752446146632888 | Exploration: 0.0192737644699
| Reward: -820 | Episode: 220 | Qmax: 5.360808543536974 | Exploration: 0.0192737644699
| Reward: -570 | Episode: 221 | Qmax: 2.8190799152005965 | Exploration: 0.0192737644699
| Reward: -5060 | Episode: 222 | Qmax: 4.982876964541542 | Exploration: 0.0192737644699
| Reward: -1580 | Episode: 223 | Qmax: 5.75837509531439 | Exploration: 0.0192737644699
| Reward: -310 | Episode: 224 | Qmax: -2.732598528629396 | Exploration: 0.0192737644699
| Reward: -420 | Episode: 225 | Qmax: 3.712279590849693 | Exploration: 0.0192737644699
| Reward: -860 | Episode: 226 | Qmax: 8.04061185461857 | Exploration: 0.0192737644699
| Reward: -400 | Episode: 227 | Qmax: 2.559348639547825 | Exploration: 0.0192737644699
| Reward: -1240 | Episode: 228 | Qmax: 3.9367288850915076 | Exploration: 0.0192737644699
| Reward: -890 | Episode: 229 | Qmax: 3.4152836537722386 | Exploration: 0.0192737644699
| Reward: -800 | Episode: 230 | Qmax: 2.9279951675070657 | Exploration: 0.0192737644699
| Reward: -370 | Episode: 231 | Qmax: 0.96853816889702 | Exploration: 0.0192737644699
| Reward: -270 | Episode: 232 | Qmax: 8.589950535748455 | Exploration: 0.0192737644699
| Reward: -650 | Episode: 233 | Qmax: 8.615495305806398 | Exploration: 0.0192737644699
| Reward: -990 | Episode: 234 | Qmax: 8.241518389194384 | Exploration: 0.0192737644699
| Reward: -3330 | Episode: 235 | Qmax: 1.8312096007754781 | Exploration: 0.0192737644699
| Reward: -1770 | Episode: 236 | Qmax: 6.807374211869895 | Exploration: 0.0192737644699
| Reward: -980 | Episode: 237 | Qmax: 0.035040437899253984 | Exploration: 0.0192737644699
