| Reward: -8150 | Episode: 74 | Qmax: -472.7937188463842 | Exploration: 0.65
| Reward: -8420 | Episode: 75 | Qmax: -477.65417131871163 | Exploration: 0.65
| Reward: -8420 | Episode: 76 | Qmax: -483.58230181065255 | Exploration: 0.65
| Reward: -8330 | Episode: 77 | Qmax: -488.90781043287745 | Exploration: 0.65
| Reward: -9950 | Episode: 78 | Qmax: -493.699846164497 | Exploration: 0.65
| Reward: -7700 | Episode: 79 | Qmax: -499.0670044923832 | Exploration: 0.65
| Reward: -8240 | Episode: 80 | Qmax: -504.8550150227212 | Exploration: 0.65
| Reward: -9230 | Episode: 81 | Qmax: -510.5132023690937 | Exploration: 0.65
| Reward: -8690 | Episode: 82 | Qmax: -515.8618724876511 | Exploration: 0.65
| Reward: -7250 | Episode: 83 | Qmax: -520.5183244907785 | Exploration: 0.65
| Reward: -8690 | Episode: 84 | Qmax: -526.3588653747926 | Exploration: 0.65
| Reward: -8150 | Episode: 85 | Qmax: -531.9346503064723 | Exploration: 0.65
| Reward: -8510 | Episode: 86 | Qmax: -536.3208756379947 | Exploration: 0.65
| Reward: -7430 | Episode: 87 | Qmax: -541.9291087056927 | Exploration: 0.65
| Reward: -7700 | Episode: 88 | Qmax: -545.9859379403338 | Exploration: 0.65
| Reward: -7700 | Episode: 89 | Qmax: -550.945083037168 | Exploration: 0.65
| Reward: -8960 | Episode: 90 | Qmax: -556.7825283134629 | Exploration: 0.65
| Reward: -9500 | Episode: 91 | Qmax: -562.2110742481055 | Exploration: 0.65
| Reward: -9140 | Episode: 92 | Qmax: -566.1064654944655 | Exploration: 0.65
| Reward: -9770 | Episode: 93 | Qmax: -571.7348225503741 | Exploration: 0.65
| Reward: -7520 | Episode: 94 | Qmax: -577.0934701434119 | Exploration: 0.65
| Reward: -8330 | Episode: 95 | Qmax: -582.077137673785 | Exploration: 0.65
| Reward: -10040 | Episode: 96 | Qmax: -587.8881590084466 | Exploration: 0.65
| Reward: -8420 | Episode: 97 | Qmax: -592.1912933533082 | Exploration: 0.65
| Reward: -7970 | Episode: 98 | Qmax: -597.5610505679327 | Exploration: 0.65
| Reward: -7610 | Episode: 99 | Qmax: -602.5680370751268 | Exploration: 0.65
| Reward: -8420 | Episode: 100 | Qmax: -606.9337373477424 | Exploration: 0.65
| Reward: -8960 | Episode: 101 | Qmax: -612.0109656568998 | Exploration: 0.65
