| Reward: -50540 | Episode: 48 | Qmax: -870.3314 | Exploration: 0.650000 
| Reward: -51170 | Episode: 49 | Qmax: -874.9996 | Exploration: 0.650000 
| Reward: -50810 | Episode: 50 | Qmax: -879.3328 | Exploration: 0.650000 
| Reward: -50450 | Episode: 51 | Qmax: -882.8641 | Exploration: 0.650000 
| Reward: -50540 | Episode: 52 | Qmax: -886.8933 | Exploration: 0.650000 
| Reward: -50360 | Episode: 53 | Qmax: -890.6531 | Exploration: 0.650000 
| Reward: -50540 | Episode: 54 | Qmax: -893.7226 | Exploration: 0.650000 
| Reward: -50360 | Episode: 55 | Qmax: -896.4959 | Exploration: 0.650000 
| Reward: -51350 | Episode: 56 | Qmax: -899.7960 | Exploration: 0.650000 
| Reward: -50720 | Episode: 57 | Qmax: -903.3553 | Exploration: 0.650000 
| Reward: -50900 | Episode: 58 | Qmax: -906.6501 | Exploration: 0.650000 
| Reward: -50810 | Episode: 59 | Qmax: -909.4678 | Exploration: 0.650000 
DDQN Saved
| Reward: -51530 | Episode: 60 | Qmax: -912.2898 | Exploration: 0.650000 
| Reward: -50630 | Episode: 61 | Qmax: -915.0590 | Exploration: 0.650000 
| Reward: -52250 | Episode: 62 | Qmax: -917.7810 | Exploration: 0.650000 
| Reward: -55040 | Episode: 63 | Qmax: -919.9308 | Exploration: 0.650000 
| Reward: -51170 | Episode: 64 | Qmax: -922.9252 | Exploration: 0.650000 
| Reward: -51080 | Episode: 65 | Qmax: -925.7056 | Exploration: 0.650000 
| Reward: -51350 | Episode: 66 | Qmax: -927.8459 | Exploration: 0.650000 
| Reward: -50450 | Episode: 67 | Qmax: -929.6633 | Exploration: 0.650000 
| Reward: -51890 | Episode: 68 | Qmax: -931.8838 | Exploration: 0.650000 
| Reward: -50810 | Episode: 69 | Qmax: -934.2161 | Exploration: 0.650000 
| Reward: -53240 | Episode: 70 | Qmax: -936.1357 | Exploration: 0.650000 
| Reward: -52160 | Episode: 71 | Qmax: -937.6087 | Exploration: 0.650000 
| Reward: -50990 | Episode: 72 | Qmax: -938.7700 | Exploration: 0.650000 
| Reward: -52430 | Episode: 73 | Qmax: -940.9033 | Exploration: 0.650000 
| Reward: -52340 | Episode: 74 | Qmax: -942.7093 | Exploration: 0.650000 
| Reward: -50810 | Episode: 75 | Qmax: -944.5449 | Exploration: 0.650000 
