| Reward: -52340 | Episode: 74 | Qmax: -942.7092831530173 | Exploration: 0.65
| Reward: -50810 | Episode: 75 | Qmax: -944.544889153612 | Exploration: 0.65
| Reward: -52070 | Episode: 76 | Qmax: -946.2483736005014 | Exploration: 0.65
| Reward: -51170 | Episode: 77 | Qmax: -947.8032231690479 | Exploration: 0.65
| Reward: -50540 | Episode: 78 | Qmax: -949.131306498116 | Exploration: 0.65
| Reward: -50990 | Episode: 79 | Qmax: -950.5249958805238 | Exploration: 0.65
| Reward: -51350 | Episode: 80 | Qmax: -951.6991101223174 | Exploration: 0.65
| Reward: -52610 | Episode: 81 | Qmax: -952.786842524755 | Exploration: 0.65
| Reward: -53060 | Episode: 82 | Qmax: -953.7765162773766 | Exploration: 0.65
| Reward: -52520 | Episode: 83 | Qmax: -954.7188970997324 | Exploration: 0.65
| Reward: -53330 | Episode: 84 | Qmax: -955.3696952403176 | Exploration: 0.65
| Reward: -50810 | Episode: 85 | Qmax: -955.9000562929969 | Exploration: 0.65
| Reward: -51710 | Episode: 86 | Qmax: -956.9236116876696 | Exploration: 0.65
| Reward: -52700 | Episode: 87 | Qmax: -957.5310906663755 | Exploration: 0.65
| Reward: -51890 | Episode: 88 | Qmax: -958.3597421632765 | Exploration: 0.65
| Reward: -52520 | Episode: 89 | Qmax: -959.2655167019732 | Exploration: 0.65
| Reward: -50720 | Episode: 90 | Qmax: -960.14427980811 | Exploration: 0.65
| Reward: -53960 | Episode: 91 | Qmax: -960.7819843509718 | Exploration: 0.65
| Reward: -51890 | Episode: 92 | Qmax: -961.1315824322091 | Exploration: 0.65
| Reward: -52340 | Episode: 93 | Qmax: -961.9220908879041 | Exploration: 0.65
| Reward: -51080 | Episode: 94 | Qmax: -962.487469942719 | Exploration: 0.65
| Reward: -51890 | Episode: 95 | Qmax: -962.7832210240877 | Exploration: 0.65
| Reward: -51170 | Episode: 96 | Qmax: -963.4128868498309 | Exploration: 0.65
| Reward: -52160 | Episode: 97 | Qmax: -964.0347731411516 | Exploration: 0.65
| Reward: -52790 | Episode: 98 | Qmax: -964.5503393891669 | Exploration: 0.65
| Reward: -51080 | Episode: 99 | Qmax: -964.5343653935865 | Exploration: 0.65
| Reward: -50810 | Episode: 100 | Qmax: -964.8899333577654 | Exploration: 0.65
| Reward: -53690 | Episode: 101 | Qmax: -965.1839042857399 | Exploration: 0.65
| Reward: -51440 | Episode: 102 | Qmax: -965.4217121988851 | Exploration: 0.65
| Reward: -50810 | Episode: 103 | Qmax: -965.688323358031 | Exploration: 0.65
| Reward: -52880 | Episode: 104 | Qmax: -966.2445381410266 | Exploration: 0.65
| Reward: -51980 | Episode: 105 | Qmax: -967.1037151766291 | Exploration: 0.65
| Reward: -52790 | Episode: 106 | Qmax: -967.3639700840558 | Exploration: 0.65
| Reward: -51710 | Episode: 107 | Qmax: -967.6539744472332 | Exploration: 0.65
| Reward: -52160 | Episode: 108 | Qmax: -967.9815049191479 | Exploration: 0.65
| Reward: -51980 | Episode: 109 | Qmax: -968.184352287938 | Exploration: 0.65
| Reward: -51530 | Episode: 110 | Qmax: -968.4078102485731 | Exploration: 0.65
| Reward: -52070 | Episode: 111 | Qmax: -968.8062213883206 | Exploration: 0.65
| Reward: -51350 | Episode: 112 | Qmax: -968.9110768564846 | Exploration: 0.65
| Reward: -51080 | Episode: 113 | Qmax: -969.4898386903943 | Exploration: 0.65
| Reward: -52970 | Episode: 114 | Qmax: -969.952337794219 | Exploration: 0.65
| Reward: -52700 | Episode: 115 | Qmax: -970.6704364066172 | Exploration: 0.65
| Reward: -52610 | Episode: 116 | Qmax: -971.3099180993426 | Exploration: 0.65
| Reward: -51710 | Episode: 117 | Qmax: -971.7538470096363 | Exploration: 0.65
| Reward: -50630 | Episode: 118 | Qmax: -972.0743939193112 | Exploration: 0.65
| Reward: -51710 | Episode: 119 | Qmax: -972.5581774069658 | Exploration: 0.65
| Reward: -52790 | Episode: 120 | Qmax: -973.0520965643324 | Exploration: 0.65
| Reward: -51260 | Episode: 121 | Qmax: -973.2659324101148 | Exploration: 0.65
| Reward: -52700 | Episode: 122 | Qmax: -973.8279036178329 | Exploration: 0.65
| Reward: -51080 | Episode: 123 | Qmax: -974.5325347051833 | Exploration: 0.65
| Reward: -51530 | Episode: 124 | Qmax: -975.2295453353366 | Exploration: 0.65
| Reward: -51170 | Episode: 125 | Qmax: -975.8764531104463 | Exploration: 0.65
| Reward: -52520 | Episode: 126 | Qmax: -976.3736390100286 | Exploration: 0.65
| Reward: -51260 | Episode: 127 | Qmax: -976.4972023091142 | Exploration: 0.65
| Reward: -51980 | Episode: 128 | Qmax: -977.0449756943576 | Exploration: 0.65
| Reward: -50810 | Episode: 129 | Qmax: -977.4506992951325 | Exploration: 0.65
| Reward: -51800 | Episode: 130 | Qmax: -977.7495329876522 | Exploration: 0.65
| Reward: -52520 | Episode: 131 | Qmax: -978.1323509330772 | Exploration: 0.65
| Reward: -52430 | Episode: 132 | Qmax: -978.374724481029 | Exploration: 0.65
| Reward: -51620 | Episode: 133 | Qmax: -978.4666119991576 | Exploration: 0.65
| Reward: -52880 | Episode: 134 | Qmax: -978.5203022293912 | Exploration: 0.65
| Reward: -54140 | Episode: 135 | Qmax: -978.5395390113179 | Exploration: 0.65
| Reward: -52070 | Episode: 136 | Qmax: -978.2896677235838 | Exploration: 0.65
| Reward: -51260 | Episode: 137 | Qmax: -978.2560570341608 | Exploration: 0.65
| Reward: -51620 | Episode: 138 | Qmax: -978.1120301819153 | Exploration: 0.65
| Reward: -53870 | Episode: 139 | Qmax: -977.9975282043713 | Exploration: 0.65
| Reward: -52610 | Episode: 140 | Qmax: -978.5484781038239 | Exploration: 0.65
| Reward: -52970 | Episode: 141 | Qmax: -978.5269728139964 | Exploration: 0.65
| Reward: -50810 | Episode: 142 | Qmax: -978.6233643335113 | Exploration: 0.65
| Reward: -52610 | Episode: 143 | Qmax: -978.6665079231667 | Exploration: 0.65
| Reward: -53060 | Episode: 144 | Qmax: -978.7090752501086 | Exploration: 0.65
| Reward: -52070 | Episode: 145 | Qmax: -978.8133844420252 | Exploration: 0.65
| Reward: -52070 | Episode: 146 | Qmax: -978.8891457979096 | Exploration: 0.65
| Reward: -52790 | Episode: 147 | Qmax: -978.5566159984927 | Exploration: 0.65
| Reward: -52160 | Episode: 148 | Qmax: -978.5297162948215 | Exploration: 0.65
| Reward: -51530 | Episode: 149 | Qmax: -978.4569197042533 | Exploration: 0.65
| Reward: -52070 | Episode: 150 | Qmax: -979.0126759726945 | Exploration: 0.65
| Reward: -51530 | Episode: 151 | Qmax: -978.9037755793346 | Exploration: 0.65
| Reward: -50990 | Episode: 152 | Qmax: -979.1861159341244 | Exploration: 0.65
| Reward: -50630 | Episode: 153 | Qmax: -979.623997272599 | Exploration: 0.65
| Reward: -51530 | Episode: 154 | Qmax: -979.5369489791512 | Exploration: 0.65
| Reward: -51440 | Episode: 155 | Qmax: -979.06427398761 | Exploration: 0.65
| Reward: -52070 | Episode: 156 | Qmax: -978.9165083871267 | Exploration: 0.65
| Reward: -53600 | Episode: 157 | Qmax: -978.9313497587212 | Exploration: 0.65
| Reward: -53150 | Episode: 158 | Qmax: -979.0528048358696 | Exploration: 0.65
| Reward: -52250 | Episode: 159 | Qmax: -978.9467984295101 | Exploration: 0.65
| Reward: -52340 | Episode: 160 | Qmax: -979.1665799346392 | Exploration: 0.65
| Reward: -51260 | Episode: 161 | Qmax: -978.9653783295722 | Exploration: 0.65
| Reward: -51710 | Episode: 162 | Qmax: -978.2866480766857 | Exploration: 0.65
| Reward: -53690 | Episode: 163 | Qmax: -978.5755714131108 | Exploration: 0.65
| Reward: -51800 | Episode: 164 | Qmax: -978.7987938896373 | Exploration: 0.65
| Reward: -50720 | Episode: 165 | Qmax: -978.7877914938456 | Exploration: 0.65
| Reward: -51170 | Episode: 166 | Qmax: -978.7458324062274 | Exploration: 0.65
| Reward: -52160 | Episode: 167 | Qmax: -979.2276230880942 | Exploration: 0.65
| Reward: -52430 | Episode: 168 | Qmax: -979.4714489895049 | Exploration: 0.65
| Reward: -52700 | Episode: 169 | Qmax: -979.4665744061898 | Exploration: 0.65
